id_nomenclature;mnemonique;cd_nomenclature
468;SOCIAB;1
0;ROOT;0
1;STADE_VIE;0
2;STADE_VIE;1
3;STADE_VIE;2
4;STADE_VIE;3
5;STADE_VIE;4
6;STADE_VIE;5
7;STADE_VIE;6
8;STADE_VIE;7
9;STADE_VIE;8
10;STADE_VIE;9
11;STADE_VIE;10
12;STADE_VIE;11
13;STADE_VIE;12
14;STADE_VIE;13
15;STADE_VIE;14
16;STADE_VIE;15
17;STADE_VIE;16
18;STADE_VIE;17
19;STADE_VIE;18
20;STADE_VIE;19
21;STADE_VIE;20
22;STADE_VIE;21
23;STADE_VIE;22
24;STADE_VIE;23
25;STADE_VIE;24
26;STADE_VIE;25
27;STADE_VIE;26
28;STADE_VIE;27
29;STATUT_BIO;0
30;STATUT_BIO;1
31;STATUT_BIO;2
32;STATUT_BIO;3
33;STATUT_BIO;4
34;STATUT_BIO;5
35;STATUT_BIO;9
36;STATUT_BIO;13
368;TERRITOIRE;GLP
37;METH_OBS;0
38;METH_OBS;1
39;METH_OBS;2
40;METH_OBS;3
41;METH_OBS;4
42;METH_OBS;5
43;METH_OBS;6
44;METH_OBS;7
45;METH_OBS;8
46;METH_OBS;9
47;METH_OBS;10
48;METH_OBS;11
49;METH_OBS;12
50;METH_OBS;13
51;METH_OBS;14
52;METH_OBS;15
53;METH_OBS;16
54;METH_OBS;17
55;METH_OBS;18
56;METH_OBS;19
113;TYP_EN;RNCFS
57;METH_OBS;20
58;METH_OBS;21
59;METH_OBS;22
60;METH_OBS;23
61;METH_OBS;24
62;METH_OBS;25
63;METH_OBS;26
64;METH_OBS;27
65;SENSIBILITE;0
66;SENSIBILITE;1
67;SENSIBILITE;2
68;SENSIBILITE;3
69;SENSIBILITE;4
70;STATUT_SOURCE;Co
71;STATUT_SOURCE;Li
72;STATUT_SOURCE;NSP
73;STATUT_SOURCE;Te
74;DS_PUBLIQUE;NSP
75;DS_PUBLIQUE;Pr
76;DS_PUBLIQUE;Pu
77;PREUVE_EXIST;0
78;PREUVE_EXIST;1
79;PREUVE_EXIST;2
