"N°";"id_releve_occtax";"id_dataset";"id_digitiser";"observers_txt";"id_nomenclature_tech_collect_campanule";"id_nomenclature_grp_typ";"grp_method";"date_min";"date_max";"hour_min";"hour_max";"place_name";"meta_device_entry";"comment";"id_nomenclature_geo_object_nature";""precision""
1;1932;2;1000052;"Sebastien Sant";239;124;;"‎29/12/‎2017";"‎29/12/‎2017";;;"Awala-Yalimapo";"NIKON COOLPIX P90";"Données provenant de la base photo de Sébastien Sant";168;
2;1933;2;1000052;"Sebastien Sant";239;124;;"‎28/12/‎2015";"‎28/12/‎2015";;;"Cayenne, littoral du mont Bourda";"FUJIFILM X-S1";"Données provenant de la base photo de Sébastien Sant";168;
3;1934;2;1000052;"Sebastien Sant";239;124;;"‎21/04/‎2018";"‎21/04/‎2018";;;"Cayenne, mont Bourda";"NIKON COOLPIX P900";"Données provenant de la base photo de Sébastien Sant";168;
4;1935;2;1000052;"Sebastien Sant";239;124;;"‎22/04/‎2018";"‎22/04/‎2018";;;"Cayenne, mont Bourda";"NIKON COOLPIX P900";"Données provenant de la base photo de Sébastien Sant";168;
5;1936;2;1000052;"Sebastien Sant";239;124;;"‎20/09/‎2016";"‎20/09/‎2016";;;"Grand Santi, Lawa";"NIKON COOLPIX P900";"Données provenant de la base photo de Sébastien Sant";168;
6;1937;2;1000052;"Sebastien Sant";239;124;;"‎01/08/‎2017";"‎01/08/‎2017";;;"Kourou, camp Canopée";"NIKON COOLPIX P900";"Données provenant de la base photo de Sébastien Sant";168;
7;1938;2;1000052;"Sebastien Sant";239;124;;"‎29/09/‎2017";"‎29/09/‎2017";;;"Kourou, Îles du Salut, Île Royale";"NIKON COOLPIX P900";"Données provenant de la base photo de Sébastien Sant";168;
8;1939;2;1000052;"Sebastien Sant";239;124;;"‎02/08/‎2017";"‎02/08/‎2017";;;"Kourou, Pointe des Roches";"NIKON COOLPIX P900";"Données provenant de la base photo de Sébastien Sant";168;
9;1940;2;1000052;"Sebastien Sant";239;124;;"‎17/04/‎2017";"‎17/04/‎2017";;;"Kourou, Pointe des Roches";"NIKON COOLPIX P900";"Données provenant de la base photo de Sébastien Sant";168;
10;1941;2;1000052;"Sebastien Sant";239;124;;"‎17/04/‎2017";"‎17/04/‎2017";;;"Kourou, Pointe Guatémala";"NIKON COOLPIX P900";"Données provenant de la base photo de Sébastien Sant";168;
11;1942;2;1000052;"Sebastien Sant";239;124;;"‎15/08/‎2016";"‎15/08/‎2016";;;"Kourou, route de Guatémala";"NIKON COOLPIX P900";"Données provenant de la base photo de Sébastien Sant";168;
12;1943;2;1000052;"Sebastien Sant";239;124;;"‎29/12/‎2017";"‎29/12/‎2017";;;"Mana";"NIKON COOLPIX P90";"Données provenant de la base photo de Sébastien Sant";168;
