"N°";"id_occurrence_occtax";"id_releve_occtax";"id_nomenclature_obs_technique";"id_nomenclature_bio_condition";"id_nomenclature_bio_status";"id_nomenclature_naturalness";"id_nomenclature_exist_proof";"id_nomenclature_diffusion_level";"id_nomenclature_observation_status";"id_nomenclature_blurring";"id_nomenclature_source_status";"id_nomenclature_behaviour";"determiner";"id_nomenclature_determination_method";"cd_nom";"nom_cite";"nom_tmp_pour_cd_nom";"meta_v_taxref";"sample_number_proof";"digital_proof"
1;2180;1932;37;153;31;156;78;140;84;171;73;;"Sant S.";456;733998;"Byrsonima aerugo";"Byrsonima aerugo";"Taxref V14.0";;
2;2181;1932;37;153;31;156;78;140;84;171;73;;"Sant S.";456;732920;"Hirtella ciliata";"Hirtella ciliata";"Taxref V14.0";;
3;2182;1932;37;153;31;156;78;140;84;171;73;;"Sant S.";456;631061;"Hymenocallis caribaea";"Hymenocallis caribaea";"Taxref V14.0";;
4;2183;1932;37;153;31;156;78;140;84;171;73;;"Sant S.";456;734364;"Myrsine guianensis";"Myrsine guianensis";"Taxref V14.0";;
5;2184;1932;37;153;31;156;78;140;84;171;73;;"Sant S.";456;445879;"Passiflora lauriflora";"Passiflora laurifolia";"Taxref V14.0";;
6;2185;1932;37;153;31;156;78;140;84;171;73;;"Sant S.";456;734531;"Passiflora moritziana";"Passiflora moritziana";"Taxref V14.0";;
7;2186;1933;37;153;31;156;78;140;84;171;73;;"Sant S.";456;629475;"Croton hirtus";"Croton hirtus";"Taxref V14.0";;
8;2187;1933;37;153;31;156;78;140;84;171;73;;"Sant S.";456;733240;"Erythroxylum cumanense";"Erythroxylum cumanense";"Taxref V14.0";;
9;2188;1933;37;153;31;156;78;140;84;171;73;;"Sant S.";456;630001;"Laguncularia racemosa";"Laguncularia racemosa";"Taxref V14.0";;
10;2189;1933;37;153;31;156;78;140;84;171;73;;"Sant S.";456;445904;"Portulaca pilosa";"Portulaca pilosa";"Taxref V14.0";;
11;2190;1934;37;153;31;156;78;140;84;171;73;;"Sant S.";456;629475;"Croton hirtus";"Croton hirtus";"Taxref V14.0";;
12;2191;1935;37;153;31;156;78;140;84;171;73;;"Sant S.";456;629827;"Heliconia bihai";"Heliconia bihai";"Taxref V14.0";;
13;2192;1935;37;153;31;156;78;140;84;171;73;;"Sant S.";456;734576;"Piper brownsbergense";"Piper brownsbergense";"Taxref V14.0";;
14;2193;1935;37;153;31;156;78;140;84;171;73;;"Sant S.";456;732636;"Tabernaemontana heterophylla";"Tabernaemontana heterophylla";"Taxref V14.0";;
15;2194;1936;37;153;31;156;78;140;84;171;73;;"Sant S.";456;731688;"Aechmea setigera";"Aechmea setigera";"Taxref V14.0";;
16;2195;1937;37;153;31;156;78;140;84;171;73;;"Sant S.";456;733389;"Columnea oerstediana";"Columnea oerstediana";"Taxref V14.0";;
17;2196;1937;37;153;31;156;78;140;84;171;73;;"Sant S.";456;733648;"Eperua rubiginosa";"Eperua rubiginosa";"Taxref V14.0";;
18;2197;1937;37;153;31;156;78;140;84;171;73;;"Sant S.";456;731714;"Racinea spiculosa";"Racinaea spiculosa";"Taxref V14.0";;
19;2198;1937;37;153;31;156;78;140;84;171;73;;"Sant S.";456;732219;"Trichosalpinx orbicularis";"Trichosalpinx orbicularis";"Taxref V14.0";;
20;2199;1938;37;153;31;156;78;140;84;171;73;;"Sant S.";456;447416;"Boehravia diffusa";"Boerhavia diffusa";"Taxref V14.0";;
21;2200;1939;37;153;31;156;78;140;84;171;73;;"Sant S.";456;630040;"Lindernia microcalyx";"Lindernia microcalyx";"Taxref V14.0";;
22;2201;1940;37;153;31;156;78;140;84;171;73;;"Sant S.";456;446885;"Sesuvium portulacastrum";"Sesuvium portulacastrum";"Taxref V14.0";;
23;2202;1941;37;153;31;156;78;140;84;171;73;;"Sant S.";456;81966;"Amaranthus blitum";"Amaranthus blitum";"Taxref V14.0";;
24;2203;1941;37;153;31;156;78;140;84;171;73;;"Sant S.";456;446483;"Marsilea cf. polycarpa";"Marsilea polycarpa";"Taxref V14.0";;
25;2204;1941;37;153;31;156;78;140;84;171;73;;"Sant S.";456;447733;"Pistia stratiotes";"Pistia stratiotes";"Taxref V14.0";;
26;2205;1941;37;153;31;156;78;140;84;171;73;;"Sant S.";456;630599;"Sapium glandulosum";"Sapium glandulosum";"Taxref V14.0";;
27;2206;1941;37;153;31;156;78;140;84;171;73;;"Sant S.";456;896042;"Talipariti pernambucensis";"Talipariti pernambucense";"Taxref V14.0";;
28;2207;1942;37;153;31;156;78;140;84;171;73;;"Sant S.";456;446858;"Asystasia gangetica";"Asystasia gangetica";"Taxref V14.0";;
29;2208;1942;37;153;31;156;78;140;84;171;73;;"Sant S.";456;848265;"Camonea umbellata";"Camonea umbellata";"Taxref V14.0";;
30;2209;1942;37;153;31;156;78;140;84;171;73;;"Sant S.";456;447007;"Ceiba pentandra";"Ceiba pentandra";"Taxref V14.0";;
31;2210;1942;37;153;31;156;78;140;84;171;73;;"Sant S.";456;629766;"Genipa americana";"Genipa americana";"Taxref V14.0";;
32;2211;1942;37;153;31;156;78;140;84;171;73;;"Sant S.";456;629806;"Gynerium sagittatum";"Gynerium sagittatum";"Taxref V14.0";;
33;2212;1942;37;153;31;156;78;140;84;171;73;;"Sant S.";456;731936;"Thalia geniculata";"Thalia geniculata";"Taxref V14.0";;
34;2213;1942;37;153;31;156;78;140;84;171;73;;"Sant S.";456;630882;"Virola surinamensis";"Virola surinamensis";"Taxref V14.0";;
35;2214;1943;37;153;31;156;78;140;84;171;73;;"Sant S.";456;735122;"Buchnera palustris";"Buchnera palustris";"Taxref V14.0";;
36;2215;1943;37;153;31;156;78;140;84;171;73;;"Sant S.";456;629365;"Clitoria arborescens";"Clitoria arborescens";"Taxref V14.0";;
37;2216;1943;37;153;31;156;78;140;84;171;73;;"Sant S.";456;734105;"Comolia villosa";"Comolia villosa";"Taxref V14.0";;
38;2217;1943;37;153;31;156;78;140;84;171;73;;"Sant S.";456;735225;"Piriqueta viscosa";"Piriqueta viscosa";"Taxref V14.0";;
39;2218;1943;37;153;31;156;78;140;84;171;73;;"Sant S.";456;734630;"Polygala adenophora";"Polygala adenophora";"Taxref V14.0";;
