"num";"cd_station";"id_releve_occtax";"id_dataset";"id_digitiser";"observers_txt";"id_nomenclature_tech_collect_campanule";"id_nomenclature_grp_typ";"grp_method";"date_min";"date_max";"hour_min";"hour_max";"place_name";"meta_device_entry";"comment";"id_nomenclature_geo_object_nature";""precision"";"latitude";"longitude";"regne"
19;1107006;2765;2;1000052;"SANT S., PREMEL V.";239;124;;"11/11/2014 00:00:00";"11/11/2014 00:00:00";;;"Kourou - Sentier de la montagne des singes";"CardObs";"bas fond marécageux - Jeu de données S. Sant (CardObs <juin 2021)";170;10;"5,069528049103954";"-52,697017192840576";"Animalia"
20;1110705;2766;2;1000052;"SANT Sébastien";239;124;;"10/11/2014 00:00:00";"10/11/2014 00:00:00";;;"Matoury - Sentier de la Mirande, avant le carbet info et la bifurcation, près d'un chablis";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;10;"4,867130249529122";"-52,34508991241455";"Animalia"
21;1110719;2767;2;1000052;"SANT Sébastien";239;124;;"11/11/2014 00:00:00";"11/11/2014 00:00:00";;;"Roura - Montagne de kaw, sentier botanique de la Réserve naturelle Trésor,";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;10;"4,607952010097917";"-52,27921485900879";"Animalia"
22;1110770;2768;2;1000052;"SANT Sébastien";239;124;;"18/11/2014 00:00:00";"18/11/2014 00:00:00";;;"Remire-Montjoly - Roches gravées du Mont Mahury";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;10;"4,858513934040835";"-52,27011680603027";"Animalia"
23;1112468;2769;2;1000052;"SANT S., PREMEL V.";239;124;;"22/11/2014 00:00:00";"22/11/2014 00:00:00";;;"Roura - Cacao, sentier Molokoï";"CardObs";"Bord de crique - Jeu de données S. Sant (CardObs <juin 2021)";170;10;"4,556874885058067";"-52,45169162750244";"Animalia"
24;1112468;2770;2;1000052;"SANT S., PREMEL V.";239;124;;"22/11/2014 00:00:00";"22/11/2014 00:00:00";;;"Roura - Cacao, sentier Molokoï";"CardObs";"Bord de crique - Jeu de données S. Sant (CardObs <juin 2021)";170;10;"4,556874885058067";"-52,45169162750244";"Plantae"
25;1306777;2771;2;1000052;"SANT Sébastien";239;124;;"26/07/2015 00:00:00";"26/07/2015 00:00:00";;;"Matoury - Rivière du Tour de l'Île";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;10;"4,802152398645652";"-52,38329529762268";"Plantae"
26;1594850;2772;42;1000052;"SANT Sébastien";239;124;;"16/11/2018 15:56:46";"16/11/2018 15:56:46";;;"Saül";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;10;"3,62600898742676";"-53,2172203063965";"Plantae"
27;1594851;2773;42;1000052;"SANT Sébastien";239;124;;"17/11/2018 13:09:21";"17/11/2018 13:09:21";;;"Saül";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;5;"3,61473894119263";"-53,2112579345703";"Plantae"
28;1594852;2774;42;1000052;"SANT Sébastien";239;124;;"17/11/2018 16:01:32";"17/11/2018 16:01:32";;;"Saül";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;9;"3,6114559173584";"-53,2178955078125";"Plantae"
1;264141;2747;2;1000052;"SANT Sébastien";239;124;;"01/01/2013 00:00:00";"01/01/2013 00:00:00";;;"Macouria - Savane Maillard";"CardObs";"Rochers affleurants en zone de savane , présence de mares temporaires, - Jeu de données S. Sant (CardObs <juin 2021)";170;;"4,97307";"-52,43894";"Plantae"
2;264142;2748;2;1000052;"SANT Sébastien";239;124;;"28/12/2012 00:00:00";"28/12/2012 00:00:00";;;"Régina - Savane-Roche Virginie";"CardObs";"Savane roche: rocher dénudé, granite ou quartzite, - Jeu de données S. Sant (CardObs <juin 2021)";170;;"4,19704";"-52,15185";"Animalia"
3;264142;2749;2;1000052;"SANT Sébastien";239;124;;"28/12/2012 00:00:00";"28/12/2012 00:00:00";;;"Régina - Savane-Roche Virginie";"CardObs";"Savane roche: rocher dénudé, granite ou quartzite, - Jeu de données S. Sant (CardObs <juin 2021)";170;;"4,19704";"-52,15185";"Plantae"
4;264143;2750;2;1000052;"SANT Sébastien";239;124;;"22/12/2012 00:00:00";"23/12/2012 00:00:00";;;"Saint-Laurent-du-Maroni - Cascade Voltaire";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;;"5,03063";"-54,08799";"Animalia"
5;264143;2751;2;1000052;"SANT Sébastien";239;124;;"22/12/2012 00:00:00";"23/12/2012 00:00:00";;;"Saint-Laurent-du-Maroni - Cascade Voltaire";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;;"5,03063";"-54,08799";"Plantae"
6;264445;2752;2;1000052;"SANT Sébastien";239;124;;"23/12/2012 00:00:00";"23/12/2012 00:00:00";;;"Saint-Laurent-du-Maroni - Les Malgaches";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;;"5,48708";"-53,99347";"Plantae"
7;287174;2753;2;1000052;"SANT Sébastien";239;124;;"08/01/2013 00:00:00";"08/01/2013 00:00:00";;;"Régina - Montagne de Kaw, layon pour le lek à coq de roches";"CardObs";"Forêt primaire basse sur cuirasse latéritique - Jeu de données S. Sant (CardObs <juin 2021)";170;;"4,55317";"-52,17324";"Animalia"
8;295149;2754;2;1000052;"SANT S., DUPRE";239;124;;"06/01/2013 00:00:00";"06/01/2013 00:00:00";;;"Saül - Layon ""Roche Bateau"", entre l'aérodrome et la Crique Cochon,";"CardObs";"Forêt secondaire - Jeu de données S. Sant (CardObs <juin 2021)";170;;"3,62016";"-53,19932";"Animalia"
9;295151;2755;2;1000052;"SANT S., CHALINE O.";239;124;;"06/01/2013 00:00:00";"06/01/2013 00:00:00";;;"Saül - Près des Carbets ""La Bananeraie""";"CardObs";"bordure d'abbatit - Jeu de données S. Sant (CardObs <juin 2021)";170;;"3,62481";"-53,21133";"Animalia"
10;295826;2756;2;1000052;"SANT Sébastien";239;124;;"05/01/2013 00:00:00";"05/01/2013 00:00:00";;;"Saül - Sentier ""Gros-Arbres""";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;;"3,61421";"-53,21186";"Animalia"
11;315258;2757;2;1000052;"SANT Sébastien";239;124;;"30/12/2012 00:00:00";"30/12/2012 00:00:00";;;"Roura - Crique Gabrielle";"CardObs";"Racines de palétuviers en bordure de crique - Jeu de données S. Sant (CardObs <juin 2021)";170;;"4,74071";"-52,31719";"Animalia"
12;1101819;2758;2;1000052;"SANT Sébastien";239;124;;"06/11/2014 02:12:36";"06/11/2014 02:12:36";;;"Roura";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;0;"4,7163519859314";"-52,2840843200684";"Animalia"
13;1101820;2759;2;1000052;"SANT Sébastien";239;124;;"11/11/2014 12:50:29";"11/11/2014 12:50:29";;;"Kourou - Savane des Pères";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;9;"5,12457895278931";"-52,6625595092773";"Plantae"
14;1101823;2760;2;1000052;"SANT Sébastien";239;124;;"12/11/2014 10:17:37";"12/11/2014 10:17:37";;;"Kourou - Piste Risquetout";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;18;"4,89055585861206";"-52,6141052246094";"Animalia"
15;1105947;2761;2;1000052;"SANT Sébastien";239;124;;"08/11/2014 00:00:00";"08/11/2014 00:00:00";;;"Régina - Sentier de la Montagne Favard, au niveau du pont sur la première crique,";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;10;"4,4997617436205255";"-52,046613693237305";"Animalia"
16;1105950;2762;2;1000052;"SANT Sébastien";239;124;;"08/11/2014 00:00:00";"08/11/2014 00:00:00";;;"Régina - Montagne de kaw, départ du layon pour les grottes à Coq de Roche, peu avant la scierie,";"CardObs";"Jeu de données S. Sant (CardObs <juin 2021)";170;10;"4,55304609286836";"-52,1759819984436";"Animalia"
