"num";"id_occurrence_occtax";"id_releve_occtax";"id_nomenclature_obs_technique";"id_nomenclature_bio_condition";"id_nomenclature_bio_status";"id_nomenclature_naturalness";"id_nomenclature_exist_proof";"id_nomenclature_diffusion_level";"id_nomenclature_observation_status";"id_nomenclature_blurring";"id_nomenclature_source_status";"id_nomenclature_behaviour";"determiner";"id_nomenclature_determination_method";"cd_nom";"nom_cite";"nom_tmp_pour_cd_nom";"meta_v_taxref";"sample_number_proof";"digital_proof";"comment"
1;4685;2747;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;193639;"Isoetes sp.";" ";;;;""
2;4686;2747;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;446487;"Ophioglossum nudicaule";"Ophioglossum nudicaule L.f., 1782";;;;""
3;4687;2748;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;436852;"Ranitomeya ventrimaculata";"Ranitomeya ventrimaculata auct. non (Shreve, 1935)";;;;""
4;4688;2749;37;153;30;156;78;140;84;171;73;;"SANT S., LEOTARD";437;731715;"Tillandsia adpressiflora Mez, in C. DC.";"Tillandsia adpressiflora Mez, 1896";;;;""
5;4689;2749;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;630808;"Tillandsia bulbosa Hook.";"Tillandsia bulbosa Hook., 1826";;;;""
6;4690;2749;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;731685;"Aechmea melinonii Hook.";"Aechmea melinonii Hook., 1861";;;;""
7;4691;2749;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;731717;"Tillandsia flexuosa Swartz";"Tillandsia flexuosa Sw., 1788";;;;""
8;4692;2749;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;731993;"Cyrtopodium andersonii (Lamb. ex Andrews) R. Br.";"Cyrtopodium andersonii (Andrews) R.Br., 1813";;;;""
9;4693;2749;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;732015;"Encyclia granitica (Lindl.) Schltr.";"Encyclia odoratissima (Lindl.) Schltr., 1914";;;;""
10;4694;2749;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;851569;"Aechmea polyantha E. Pereira & Reitz";"Aechmea polyantha E.Pereira & Reitz, 1974";;;;""
11;4695;2750;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;444014;"Plica plica";"Plica plica (Linnaeus, 1758)";;;;""
12;4696;2751;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;630808;"Tillandsia bulbosa";"Tillandsia bulbosa Hook., 1826";;;;""
13;4697;2751;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;630895;"Vriesea splendens";"Vriesea splendens (Brongn.) Lem., 1850";;;;""
14;4698;2751;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;731714;"Racinaea spiculosa";"Racinaea spiculosa (Griseb.) M.A.Spencer & L.B.Sm., 1993";;;;""
15;4699;2752;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;731723;"Vriesea procera (Mart. ex Schultes f.) Wittmack, 1891";"Vriesea procera (Mart. ex Schult.f.) Wittm., 1891";;;;""
16;4700;2753;37;153;30;156;78;140;84;171;73;544;"CHALINE Olivier";437;444144;"Bothrops brazili";"Bothrops brazili Hoge, 1954";;;;""
17;4701;2754;37;153;30;156;78;140;84;171;73;544;"SANT S., DUPRE";437;444050;"Dipsas catesbyi";"Dipsas catesbyi (Sentzen, 1796)";;;;""
18;4702;2755;37;153;30;156;78;140;84;171;73;544;"SANT S., CHALINE O.";437;444091;"Oxybelis fulgidus";"Oxybelis fulgidus (Daudin, 1803)";;;;""
19;4703;2756;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;433356;"Drymaeus meesi";"Drymaeus meesi Breure, 1976";;;;"Photographié"
20;4704;2757;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;528757;"Crocodilurus amazonicus";"Crocodilurus amazonicus Spix, 1825";;;;""
21;4705;2758;37;153;32;156;78;140;84;171;73;544;"SANT Sébastien";437;436892;"Trachycephalus venulosus";"Trachycephalus venulosus (Laurenti, 1768)";;;;"En reproduction"
22;4706;2758;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;444031;"Eunectes murinus";"Eunectes murinus (Linnaeus, 1758)";;;;"juvénile d'un an, 1.5m."
23;4707;2758;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;444064;"Helicops leopardinus";"Helicops leopardinus (Schlegel, 1837)";;;;"40cm."
24;4708;2758;37;153;32;156;78;140;84;171;73;544;"SANT Sébastien";437;444467;"Rhinella marina";"Rhinella marina (Linnaeus, 1758)";;;;"En reproduction"
25;4709;2759;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;630554;"Rhynchospora nervosa";"Rhynchospora nervosa (Vahl) Boeckeler, 1869";;;;""
26;4710;2759;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;895680;"Melochia spicata (L.) Fryxell";"Melochia spicata (L.) Fryxell, 1988";;;;""
27;4711;2760;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;443757;"Saguinus midas";"Saguinus midas (Linnaeus, 1758)";;;;""
28;4712;2761;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;443998;"Anolis nitens";"Anolis nitens (Wagler, 1830)";;;;""
29;4713;2761;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;444018;"Uranoscodon superciliosus";"Uranoscodon superciliosus (Linnaeus, 1758)";;;;""
30;4714;2762;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;444011;"Kentropyx calcarata";"Kentropyx calcarata Spix, 1825";;;;""
31;4715;2763;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;444143;"Bothrops atrox";"Bothrops atrox (Linnaeus, 1758)";;;;""
32;4716;2764;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;443759;"Ateles paniscus";"Ateles paniscus (Linnaeus, 1758)";;;;""
33;4717;2764;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;444003;"Mabuya nigropunctata";"Mabuya nigropunctata (Spix, 1825)";;;;""
34;4718;2765;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;436843;"Rhinella margaritifera";"Rhinella margaritifera (Laurenti, 1768)";;;;""
35;4719;2765;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;436868;"Hypsiboas dentei";"Hypsiboas dentei (Bokermann, 1967)";;;;""
36;4720;2765;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;436884;"Scinax nebulosus";"Scinax nebulosus (Spix, 1824)";;;;""
37;4721;2765;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;444143;"Bothrops atrox";"Bothrops atrox (Linnaeus, 1758)";;;;""
38;4722;2765;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;459451;"Pristimantis chiastonotus";"Pristimantis chiastonotus (Lynch & Hoogmoed, 1977)";;;;""
39;4723;2765;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;459455;"Pristimantis zeuctotylus";"Pristimantis zeuctotylus (Lynch & Hoogmoed, 1977)";;;;""
40;4724;2765;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;626212;"Vitreorana oyampiensis";"Vitreorana oyampiensis (Lescure, 1975)";;;;""
41;4725;2765;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;716026;"Teraphosa blondi";"Theraphosa blondi (Latreille, 1804)";;;;""
42;4726;2765;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;783241;"Rhinella castaneotica";"Rhinella castaneotica (Caldwell, 1991)";;;;""
43;4727;2766;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;530678;"Erythrodiplax umbrata Linnaeus, 1758";"Erythrodiplax umbrata (Linnaeus, 1758)";;;;""
44;4728;2767;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;433408;"Labyrinthus bifurcatus";"Labyrinthus bifurcatus (Deshayes, 1838)";;;;""
45;4729;2768;37;153;30;156;78;140;84;171;73;544;"SANT Sébastien";437;443980;"Gonatodes humeralis";"Gonatodes humeralis (Guichenot, 1855)";;;;""
46;4730;2769;37;153;30;156;78;140;84;171;73;544;"SANT S., PREMEL V.";437;433416;"Solaropsis undata";"Solaropsis undata (Lightfoot, 1786)";;;;"Forma cicatricata"
47;4731;2770;37;153;30;156;78;140;84;171;73;;"SANT S., PREMEL V.";437;731422;"Elaphoglossum herminieri";"Elaphoglossum herminieri (Bory & Fée) T.Moore, 1857";;;;""
48;4732;2771;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;629285;"Catopsis sessiliflora";"Catopsis sessiliflora (Ruiz & Pav.) Mez, 1896";;;;""
49;4733;2771;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;630808;"Tillandsia bulbosa";"Tillandsia bulbosa Hook., 1826";;;;""
50;4734;2772;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;735186;"Herrania kanukuensis";"Herrania kanukuensis R.E.Schult., 1943";;;;""
51;4735;2773;37;153;30;156;78;140;84;171;73;;"SANT Sébastien";437;733393;"Drymonia coccinea";"Drymonia coccinea (Aubl.) Wiehler, 1973";;;;""
