CD_NOM	PLUS_RECENTE_DIFFUSION	CD_NOM_REMPLACEMENT	CD_RAISON_SUPPRESSION	RAISON_SUPPRESSION
16	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
44	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
47	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
50	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
88	3.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
102	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
107	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
109	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
128	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
131	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
203	5.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
217	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
265	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
291	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
301	5.0	351	1	cd_nom de remplacement à utiliser.
356	6.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
470	5.0	361709	1	cd_nom de remplacement à utiliser.
529	7.0	240265	1	cd_nom de remplacement à utiliser.
544	7.0	240236	1	cd_nom de remplacement à utiliser.
793	9.0	457320	1	cd_nom de remplacement à utiliser.
851	9.0	457331	1	cd_nom de remplacement à utiliser.
853	7.0	234074	1	cd_nom de remplacement à utiliser.
869	7.0	233763	1	cd_nom de remplacement à utiliser.
873	7.0	233457	1	cd_nom de remplacement à utiliser.
926	7.0	233892	1	cd_nom de remplacement à utiliser.
1047	7.0	233913	1	cd_nom de remplacement à utiliser.
1084	7.0	233252	1	cd_nom de remplacement à utiliser.
1109	9.0	457280	1	cd_nom de remplacement à utiliser.
1141	9.0	457277	1	cd_nom de remplacement à utiliser.
1178	7.0	233305	1	cd_nom de remplacement à utiliser.
1181	7.0	550789	1	cd_nom de remplacement à utiliser.
1266	7.0	457283	1	cd_nom de remplacement à utiliser.
1302	5.0	1301	1	cd_nom de remplacement à utiliser.
1311	7.0	457285	1	cd_nom de remplacement à utiliser.
1350	9.0	457288	1	cd_nom de remplacement à utiliser.
1386	7.0	1489	1	cd_nom de remplacement à utiliser.
1428	7.0	233810	1	cd_nom de remplacement à utiliser.
1464	9.0	1463	1	cd_nom de remplacement à utiliser.
1491	9.0	457313	1	cd_nom de remplacement à utiliser.
1521	7.0	233573	1	cd_nom de remplacement à utiliser.
1592	7.0	457323	1	cd_nom de remplacement à utiliser.
1654	9.0	457394	1	cd_nom de remplacement à utiliser.
1662	9.0	457393	1	cd_nom de remplacement à utiliser.
1674	7.0	234178	1	cd_nom de remplacement à utiliser.
1694	9.0	457387	1	cd_nom de remplacement à utiliser.
1792	5.0	1791	1	cd_nom de remplacement à utiliser.
1810	9.0	457367	1	cd_nom de remplacement à utiliser.
1907	7.0		1	cd_nom de remplacement à utiliser.
1921	7.0	252055	1	cd_nom de remplacement à utiliser.
1942	9.0	457346	1	cd_nom de remplacement à utiliser.
2066	7.0	234035	1	cd_nom de remplacement à utiliser.
2090	7.0	233997	1	cd_nom de remplacement à utiliser.
2168	7.0	232874	1	cd_nom de remplacement à utiliser.
2443	9.0	2446	1	cd_nom de remplacement à utiliser.
3833	7.0	127191	1	cd_nom de remplacement à utiliser.
4295	9.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
4454	8.0	771007	1	cd_nom de remplacement à utiliser.
4702	7.0	57870	1	cd_nom de remplacement à utiliser.
4704	7.0	57897	1	cd_nom de remplacement à utiliser.
5206	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
5419	9.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
5489	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
5636	7.0	435565	1	cd_nom de remplacement à utiliser.
5673	8.0		3	cd_nom à supprimer : enregistrement ambigü à revoir dans les données.
6106	7.0	235339	1	cd_nom de remplacement à utiliser.
6342	8.0		3	cd_nom à supprimer : enregistrement ambigü à revoir dans les données.
6810	7.0	7990	1	cd_nom de remplacement à utiliser.
7045	8.0	379651	1	cd_nom de remplacement à utiliser.
7103	8.0	554415	1	cd_nom de remplacement à utiliser.
7273	8.0	371313	1	cd_nom de remplacement à utiliser.
7560	5.0	7559	1	cd_nom de remplacement à utiliser.
7634	7.0	241805	1	cd_nom de remplacement à utiliser.
7641	7.0	223332	1	cd_nom de remplacement à utiliser.
7643	7.0	223334	1	cd_nom de remplacement à utiliser.
7649	7.0	241540	1	cd_nom de remplacement à utiliser.
7673	7.0	242075	1	cd_nom de remplacement à utiliser.
7679	7.0	242294	1	cd_nom de remplacement à utiliser.
7689	4.0	223155	1	cd_nom de remplacement à utiliser.
7701	7.0	240437	1	cd_nom de remplacement à utiliser.
7707	7.0	244084	1	cd_nom de remplacement à utiliser.
7709	7.0	222433	1	cd_nom de remplacement à utiliser.
7713	7.0	244639	1	cd_nom de remplacement à utiliser.
7717	7.0	223431	1	cd_nom de remplacement à utiliser.
7725	7.0	222032	1	cd_nom de remplacement à utiliser.
7732	7.0	223128	1	cd_nom de remplacement à utiliser.
7744	7.0	243023	1	cd_nom de remplacement à utiliser.
7751	7.0	340019	1	cd_nom de remplacement à utiliser.
7756	7.0	242297	1	cd_nom de remplacement à utiliser.
7759	7.0	223532	1	cd_nom de remplacement à utiliser.
7767	7.0	242287	1	cd_nom de remplacement à utiliser.
7771	7.0	222339	1	cd_nom de remplacement à utiliser.
7775	7.0	223074	1	cd_nom de remplacement à utiliser.
7777	7.0	238984	1	cd_nom de remplacement à utiliser.
7784	7.0	148247	1	cd_nom de remplacement à utiliser.
7786	7.0	224116	1	cd_nom de remplacement à utiliser.
7797	7.0	242607	1	cd_nom de remplacement à utiliser.
7799	7.0	222154	1	cd_nom de remplacement à utiliser.
7801	7.0	222157	1	cd_nom de remplacement à utiliser.
7803	7.0	244665	1	cd_nom de remplacement à utiliser.
7811	7.0	223063	1	cd_nom de remplacement à utiliser.
7823	7.0	243206	1	cd_nom de remplacement à utiliser.
7825	7.0	223154	1	cd_nom de remplacement à utiliser.
7829	7.0	223336	1	cd_nom de remplacement à utiliser.
7831	7.0	222076	1	cd_nom de remplacement à utiliser.
7834	7.0	242041	1	cd_nom de remplacement à utiliser.
7836	7.0	51541	1	cd_nom de remplacement à utiliser.
7840	7.0	234913	1	cd_nom de remplacement à utiliser.
7844	7.0	244246	1	cd_nom de remplacement à utiliser.
7849	7.0	223592	1	cd_nom de remplacement à utiliser.
7853	7.0	222112	1	cd_nom de remplacement à utiliser.
7855	7.0	240480	1	cd_nom de remplacement à utiliser.
7864	7.0	244683	1	cd_nom de remplacement à utiliser.
7872	7.0	222926	1	cd_nom de remplacement à utiliser.
7891	5.0	223817	1	cd_nom de remplacement à utiliser.
7892	5.0	223817	1	cd_nom de remplacement à utiliser.
7900	7.0	241060	1	cd_nom de remplacement à utiliser.
7904	7.0	221994	1	cd_nom de remplacement à utiliser.
7908	7.0	222053	1	cd_nom de remplacement à utiliser.
7910	7.0	238987	1	cd_nom de remplacement à utiliser.
7915	7.0	235429	1	cd_nom de remplacement à utiliser.
7917	7.0	239264	1	cd_nom de remplacement à utiliser.
7924	7.0	222671	1	cd_nom de remplacement à utiliser.
7926	7.0	223962	1	cd_nom de remplacement à utiliser.
