"ETA_BIO","0","NSP","NSP","Indice de présence"
"ETA_BIO","2","Observé vivant","Observé vivant","Capture"
"ETA_BIO","2","Observé vivant","Observé vivant","Entendu"
"ETA_BIO","2","Observé vivant","Observé vivant","Piège photographique"
"ETA_BIO","2","Observé vivant","Observé vivant","Vu"
"ETA_BIO","3","Trouvé mort","Trouvé mort","Cadavre"
"ETA_BIO","3","Trouvé mort","Trouvé mort","mort"
"METH_OBS","0","Vu","Vu","capture"
"METH_OBS","0","Vu","Vu","capturé"
"METH_OBS","0","Vu","Vu","écrasé"
"METH_OBS","0","Vu","Vu","identifié à la loupe binoculaire"
"METH_OBS","0","Vu","Vu","Loupe de terrain"
"METH_OBS","0","Vu","Vu","mort"
"METH_OBS","0","Vu","Vu","Observation par corps"
"METH_OBS","0","Vu","Vu","Piégeage"
"METH_OBS","0","Vu","Vu","V"
"METH_OBS","0","Vu","Vu","vu"
"METH_OBS","0","Vu","Vu","Vu"
"METH_OBS","0","Vu","Vu","Vu & Entendu"
"METH_OBS","0","Vu","Vu","vu et mue"
"METH_OBS","11","Poils/plumes/phanères","Poils/plumes/phanères","Plume"
"METH_OBS","1","Entendu","Entendu","en"
"METH_OBS","1","Entendu","Entendu","entendu"
"METH_OBS","1","Entendu","Entendu","Entendu"
"METH_OBS","25","Vu et entendu","Vu et entendu","entendu et capturé"
"METH_OBS","25","Vu et entendu","Vu et entendu","entendu et vu"
"METH_OBS","25","Vu et entendu","Vu et entendu","V+E"
"METH_OBS","25","Vu et entendu","Vu et entendu","vuen"
"METH_OBS","25","Vu et entendu","Vu et entendu","vu et entendu"
"METH_OBS","4","Empreintes","Empreintes","empreinte"
"METH_OBS","4","Empreintes","Empreintes","Empreinte"
"METH_OBS","4","Empreintes","Empreintes","empreinte;abri ou catiche"
"METH_OBS","4","Empreintes","Empreintes","empreinte;Autre espèce observée"
"METH_OBS","4","Empreintes","Empreintes","empreinte;Donnée historique"
"METH_OBS","4","Empreintes","Empreintes","empreinte;trace"
"METH_OBS","4","Empreintes","Empreintes","empreinte;trace;Abri ou catiche"
"METH_OBS","4","Empreintes","Empreintes","empreinte;trace;Autre espèce observée"
"METH_OBS","4","Empreintes","Empreintes","trace"
"METH_OBS","4","Empreintes","Empreintes","trace;Cadavre"
"METH_OBS","4","Empreintes","Empreintes","trace;Donnée historique"
"METH_OBS","6","Fèces/Guano/Epreintes","Fèces/Guano/Epreintes","Crotte"
"METH_OBS","6","Fèces/Guano/Epreintes","Fèces/Guano/Epreintes","crottes"
"METH_OBS","8","Nid/Gîte","Nid/Gîte","dortoir"
"METH_OBS", , , ,"Cadavre"
"METH_OBS", , , ,"Capture"
"METH_OBS", , , ,"Indice de présence"
"METH_OBS", , , ,"Piège photographique"
"SEXE", , , ,"10"
"SEXE","1","Indéterminé","Indéterminé","immature"
"SEXE","1","Indéterminé","Indéterminé","immature(s)"
"SEXE","1","Indéterminé","Indéterminé","ind."
"SEXE","1","Indéterminé","Indéterminé","ind"
"SEXE","1","Indéterminé","Indéterminé","IND"
"SEXE","1","Indéterminé","Indéterminé","indéterminé"
"SEXE","1","Indéterminé","Indéterminé","Indéterminé"
"SEXE","2","Femelle","Femelle","F?"
"SEXE","2","Femelle","Femelle","F"
"SEXE","2","Femelle","Femelle","f ad"
"SEXE","2","Femelle","Femelle","f ad;juv"
"SEXE","2","Femelle","Femelle","femelle"
"SEXE","2","Femelle","Femelle","Femelle"
"SEXE","2","Femelle","Femelle","femelle adulte"
"SEXE","2","Femelle","Femelle","femelle immature"
"SEXE","2","Femelle","Femelle","femelle(s)"
"SEXE","2","Femelle","Femelle","femelle(s) imago(s)"
"SEXE","2","Femelle","Femelle","Femelle(s) imago(s)"
"SEXE","2","Femelle","Femelle","Imago femelle"
"SEXE","3","Mâle","Mâle","Imago mâle"
"SEXE","3","Mâle","Mâle","Imago mâle; Exuvie"
"SEXE","3","Mâle","Mâle","m"
"SEXE","3","Mâle","Mâle","M"
"SEXE","3","Mâle","Mâle","m ad"
"SEXE","3","Mâle","Mâle","Male"
"SEXE","3","Mâle","Mâle","mâle"
"SEXE","3","Mâle","Mâle","Mâle"
"SEXE","3","Mâle","Mâle","mâle adulte"
"SEXE","3","Mâle","Mâle","mâle chanteur"
"SEXE","3","Mâle","Mâle","mâle imago"
"SEXE","3","Mâle","Mâle","Mâle Imago(s)"
"SEXE","3","Mâle","Mâle","mâle immature"
"SEXE","3","Mâle","Mâle","mâle(s)"
"SEXE","3","Mâle","Mâle","mâle(s) et femelles(s)"
"SEXE","3","Mâle","Mâle","mâle(s) imago(s)"
"SEXE","3","Mâle","Mâle","mâle(s) immature(s)"
"SEXE","3","Mâle","Mâle","Subimago mâle"
"SEXE","5","Mixte","Mixte","Couple"
"SEXE","5","Mixte","Mixte","mâle et femelle"
"SEXE","5","Mixte","Mixte","Mâle et femelle"
"SEXE","5","Mixte","Mixte","Mâle et femelle imagos"
"SEXE","5","Mixte","Mixte","mâle(s) et femelle(s)"
"SEXE","5","Mixte","Mixte","mâle(s) et femelle(s) imago(s)"
"SEXE","5","Mixte","Mixte","Mâle(s) et femelle(s) imago(s)"
"SEXE","5","Mixte","Mixte","mf"
"SEXE","5","Mixte","Mixte","M&F"
"SEXE","5","Mixte","Mixte","m&f ad"
"SEXE","5","Mixte","Mixte","m&f ad;juv"
"SEXE","5","Mixte","Mixte","Mixte"
"SEXE", , , ,"Angiospermes"
"SEXE", , , ,"Bourgeon"
"SEXE", , , ,"Dissémination"
"SEXE", , , ,"Floraison"
"SEXE", , , ,"Fructification"
"SEXE", , , ,"Gymnospermes"
"SEXE", , , ,"Humus forestier"
"SEXE", , , ,"i,"
"SEXE", , , ,"Litière forestière"
"SEXE", , , ,"Sélectionnez"
"SEXE", , , ,"Sénescence"
"SEXE", , , ,"Sol herbeux"
"SEXE", , , ,"Sol moussu"
"SEXE", , , ,"Sol nu"
"SEXE", , , ,"Substrat végétal"
"SEXE", , , ,"Végétatif"
"STADE_VIE","11","Exuvie","Exuvie","déplacement"
"STADE_VIE","11","Exuvie","Exuvie","émergence"
"STADE_VIE","11","Exuvie","Exuvie","émergence / exuvie"
"STADE_VIE","11","Exuvie","Exuvie","émergence / exuvie + adultes"
"STADE_VIE","11","Exuvie","Exuvie","Emergent"
"STADE_VIE","11","Exuvie","Exuvie","exuvie"
"STADE_VIE","11","Exuvie","Exuvie","Exuvie"
"STADE_VIE","11","Exuvie","Exuvie","exuvies"
"STADE_VIE","15","Imago","Imago","hivernage"
"STADE_VIE","15","Imago","Imago","imago"
"STADE_VIE","15","Imago","Imago","Imago"
"STADE_VIE","15","Imago","Imago","Imago-Adulte"
"STADE_VIE","15","Imago","Imago","imago qui pond"
"STADE_VIE","15","Imago","Imago","imago(s)"
"STADE_VIE","1","Indéterminé","Indéterminé","IND"
"STADE_VIE","1","Indéterminé","Indéterminé","Indéterminé"
"STADE_VIE","1","Indéterminé","Indéterminé","indeterminée"
"STADE_VIE","2","Adulte","Adulte","A"
"STADE_VIE","2","Adulte","Adulte","accouplement"
"STADE_VIE","2","Adulte","Adulte","accouplement + adulte"
"STADE_VIE","2","Adulte","Adulte","ad"
"STADE_VIE","2","Adulte","Adulte","AD"
"STADE_VIE","2","Adulte","Adulte","adulte"
"STADE_VIE","2","Adulte","Adulte","Adulte"
"STADE_VIE","2","Adulte","Adulte","Adulte-émergent"
"STADE_VIE","2","Adulte","Adulte","adulte(s)"
"STADE_VIE","2","Adulte","Adulte","adultes"
"STADE_VIE","2","Adulte","Adulte","adultes et exuvies"
"STADE_VIE","2","Adulte","Adulte","adultes + tandem + ponte"
"STADE_VIE","2","Adulte","Adulte","Adultes transportant de la nourriture"
"STADE_VIE","2","Adulte","Adulte","adulte tentative d'accouplement"
"STADE_VIE","2","Adulte","Adulte","Adulte transportant des éléments pour la construction d'un nid"
"STADE_VIE","3","Juvénile","Juvénile","J?"
"STADE_VIE","3","Juvénile","Juvénile","J"
"STADE_VIE","3","Juvénile","Juvénile","Jeunes volants"
"STADE_VIE","3","Juvénile","Juvénile","juv"
"STADE_VIE","3","Juvénile","Juvénile","JUV"
"STADE_VIE","3","Juvénile","Juvénile","juvénile"
"STADE_VIE","3","Juvénile","Juvénile","Juvénile"
"STADE_VIE","3","Juvénile","Juvénile","Poussin"
"STADE_VIE","4","Immature","Immature","immature"
"STADE_VIE","4","Immature","Immature","Immature"
"STADE_VIE","4","Immature","Immature","immatures"
